Using cuda device
Logging to runs/p7f343fa/PPO_1
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 0.235       |
| time/                   |             |
|    fps                  | 1066        |
|    iterations           | 12          |
|    time_elapsed         | 368         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.016119706 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.7        |
|    explained_variance   | 0.676       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0288     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 0.00054     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 0.241       |
| time/                   |             |
|    fps                  | 1058        |
|    iterations           | 13          |
|    time_elapsed         | 402         |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.016501416 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.606       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0431     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 0.000805    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 123        |
|    ep_rew_mean          | 0.22       |
| time/                   |            |
|    fps                  | 1050       |
|    iterations           | 14         |
|    time_elapsed         | 436        |
|    total_timesteps      | 458752     |
| train/                  |            |
|    approx_kl            | 0.01645964 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.66      |
|    explained_variance   | 0.644      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0152    |
|    n_updates            | 130        |
|    policy_gradient_loss | -0.022     |
|    value_loss           | 0.000581   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 0.265       |
| time/                   |             |
|    fps                  | 1044        |
|    iterations           | 15          |
|    time_elapsed         | 470         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.017036729 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.64       |
|    explained_variance   | 0.662       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0279     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0248     |
|    value_loss           | 0.000591    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 0.256       |
| time/                   |             |
|    fps                  | 1035        |
|    iterations           | 16          |
|    time_elapsed         | 506         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.017434213 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.62       |
|    explained_variance   | 0.63        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0417     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0229     |
|    value_loss           | 0.000833    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 0.238       |
| time/                   |             |
|    fps                  | 1033        |
|    iterations           | 17          |
|    time_elapsed         | 539         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.018039383 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.6        |
|    explained_variance   | 0.633       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0277     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0232     |
|    value_loss           | 0.000639    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 0.277       |
| time/                   |             |
|    fps                  | 1028        |
|    iterations           | 18          |
|    time_elapsed         | 573         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.019067474 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.57       |
|    explained_variance   | 0.614       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0672     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0241     |
|    value_loss           | 0.000814    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 119        |
|    ep_rew_mean          | 0.29       |
| time/                   |            |
|    fps                  | 1022       |
|    iterations           | 19         |
|    time_elapsed         | 608        |
|    total_timesteps      | 622592     |
| train/                  |            |
|    approx_kl            | 0.01839455 |
|    clip_fraction        | 0.221      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.55      |
|    explained_variance   | 0.615      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0241    |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.0227    |
|    value_loss           | 0.000989   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 112        |
|    ep_rew_mean          | 0.306      |
| time/                   |            |
|    fps                  | 1016       |
|    iterations           | 20         |
|    time_elapsed         | 644        |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.01797996 |
|    clip_fraction        | 0.221      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.52      |
|    explained_variance   | 0.587      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0334    |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0223    |
|    value_loss           | 0.0011     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 115         |
|    ep_rew_mean          | 0.295       |
| time/                   |             |
|    fps                  | 1014        |
|    iterations           | 21          |
|    time_elapsed         | 678         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.018673781 |
|    clip_fraction        | 0.225       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.51       |
|    explained_variance   | 0.55        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0293     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0228     |
|    value_loss           | 0.00128     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 0.303       |
| time/                   |             |
|    fps                  | 1014        |
|    iterations           | 22          |
|    time_elapsed         | 710         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.019158127 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.49       |
|    explained_variance   | 0.48        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0348     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 0.00165     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 113        |
|    ep_rew_mean          | 0.337      |
| time/                   |            |
|    fps                  | 1014       |
|    iterations           | 23         |
|    time_elapsed         | 742        |
|    total_timesteps      | 753664     |
| train/                  |            |
|    approx_kl            | 0.01964269 |
|    clip_fraction        | 0.231      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.46      |
|    explained_variance   | 0.488      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0332    |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.0224    |
|    value_loss           | 0.00158    |
----------------------------------------
