
Using cuda device
Logging to runs/7ftz3hl5/PPO_1
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 0.233      |
| time/                   |            |
|    fps                  | 1184       |
|    iterations           | 12         |
|    time_elapsed         | 331        |
|    total_timesteps      | 393216     |
| train/                  |            |
|    approx_kl            | 0.02378434 |
|    clip_fraction        | 0.287      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.68      |
|    explained_variance   | 0.876      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0598    |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0307    |
|    value_loss           | 0.000116   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 228         |
|    ep_rew_mean          | 0.229       |
| time/                   |             |
|    fps                  | 1176        |
|    iterations           | 13          |
|    time_elapsed         | 361         |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.024645807 |
|    clip_fraction        | 0.296       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.65       |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0792     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0298     |
|    value_loss           | 0.000152    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 237         |
|    ep_rew_mean          | 0.216       |
| time/                   |             |
|    fps                  | 1169        |
|    iterations           | 14          |
|    time_elapsed         | 392         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.025184188 |
|    clip_fraction        | 0.291       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.63       |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0365     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0277     |
|    value_loss           | 0.000152    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 232         |
|    ep_rew_mean          | 0.233       |
| time/                   |             |
|    fps                  | 1162        |
|    iterations           | 15          |
|    time_elapsed         | 422         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.024543928 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.62       |
|    explained_variance   | 0.9         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0839     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0314     |
|    value_loss           | 9.3e-05     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 235         |
|    ep_rew_mean          | 0.216       |
| time/                   |             |
|    fps                  | 1156        |
|    iterations           | 16          |
|    time_elapsed         | 453         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.024666026 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.6        |
|    explained_variance   | 0.938       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0567     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.031      |
|    value_loss           | 5.85e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 232         |
|    ep_rew_mean          | 0.219       |
| time/                   |             |
|    fps                  | 1152        |
|    iterations           | 17          |
|    time_elapsed         | 483         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.026317958 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.57       |
|    explained_variance   | 0.91        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.066      |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0322     |
|    value_loss           | 7.67e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 232         |
|    ep_rew_mean          | 0.231       |
| time/                   |             |
|    fps                  | 1149        |
|    iterations           | 18          |
|    time_elapsed         | 513         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.026109606 |
|    clip_fraction        | 0.303       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.54       |
|    explained_variance   | 0.875       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0757     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0321     |
|    value_loss           | 9.85e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 234         |
|    ep_rew_mean          | 0.202       |
| time/                   |             |
|    fps                  | 1145        |
|    iterations           | 19          |
|    time_elapsed         | 543         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.027151436 |
|    clip_fraction        | 0.306       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.52       |
|    explained_variance   | 0.909       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00542    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0329     |
|    value_loss           | 9.43e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 232        |
|    ep_rew_mean          | 0.229      |
| time/                   |            |
|    fps                  | 1141       |
|    iterations           | 20         |
|    time_elapsed         | 574        |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.02582772 |
|    clip_fraction        | 0.301      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.5       |
|    explained_variance   | 0.872      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0329    |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0319    |
|    value_loss           | 0.000156   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 231         |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 1136        |
|    iterations           | 21          |
|    time_elapsed         | 605         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.027186185 |
|    clip_fraction        | 0.298       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.48       |
|    explained_variance   | 0.942       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0366     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0308     |
|    value_loss           | 5.16e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 234         |
|    ep_rew_mean          | 0.204       |
| time/                   |             |
|    fps                  | 1131        |
|    iterations           | 22          |
|    time_elapsed         | 637         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.028970752 |
|    clip_fraction        | 0.319       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.46       |
|    explained_variance   | 0.885       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0608     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0311     |
|    value_loss           | 0.000153    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 222         |
|    ep_rew_mean          | 0.204       |
| time/                   |             |
|    fps                  | 1127        |
|    iterations           | 23          |
|    time_elapsed         | 668         |
|    total_timesteps      | 753664      |
| train/                  |             |
|    approx_kl            | 0.028133303 |
|    clip_fraction        | 0.31        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.96        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0494     |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0343     |
|    value_loss           | 3.87e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 219         |
|    ep_rew_mean          | 0.224       |
| time/                   |             |
|    fps                  | 1123        |
|    iterations           | 24          |
|    time_elapsed         | 700         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.028779317 |
|    clip_fraction        | 0.307       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.41       |
|    explained_variance   | 0.962       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0466     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0359     |
|    value_loss           | 4.07e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 218         |
|    ep_rew_mean          | 0.228       |
| time/                   |             |
|    fps                  | 1119        |
|    iterations           | 25          |
|    time_elapsed         | 731         |
|    total_timesteps      | 819200      |
| train/                  |             |
|    approx_kl            | 0.029333133 |
|    clip_fraction        | 0.318       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.917       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0224     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0331     |
|    value_loss           | 9.78e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 215         |
|    ep_rew_mean          | 0.235       |
| time/                   |             |
|    fps                  | 1116        |
|    iterations           | 26          |
|    time_elapsed         | 762         |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.029050361 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0645     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0278     |
|    value_loss           | 0.000118    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 213         |
|    ep_rew_mean          | 0.223       |
| time/                   |             |
|    fps                  | 1113        |
|    iterations           | 27          |
|    time_elapsed         | 794         |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.029690513 |
|    clip_fraction        | 0.313       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.923       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0512     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0337     |
|    value_loss           | 0.000118    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 1110        |
|    iterations           | 28          |
|    time_elapsed         | 825         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.028124109 |
|    clip_fraction        | 0.31        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0285     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0321     |
|    value_loss           | 0.000106    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 207         |
|    ep_rew_mean          | 0.225       |
| time/                   |             |
|    fps                  | 1108        |
|    iterations           | 29          |
|    time_elapsed         | 857         |
|    total_timesteps      | 950272      |
| train/                  |             |
|    approx_kl            | 0.029304102 |
|    clip_fraction        | 0.315       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.24       |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0657     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0323     |
|    value_loss           | 0.000158    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | 0.231       |
| time/                   |             |
|    fps                  | 1105        |
|    iterations           | 30          |
|    time_elapsed         | 888         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.030533934 |
|    clip_fraction        | 0.322       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.923       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0759     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0349     |
|    value_loss           | 7.06e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 210         |
|    ep_rew_mean          | 0.232       |
| time/                   |             |
|    fps                  | 1103        |
|    iterations           | 31          |
|    time_elapsed         | 920         |
|    total_timesteps      | 1015808     |
| train/                  |             |
|    approx_kl            | 0.031883508 |
|    clip_fraction        | 0.32        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.21       |
|    explained_variance   | 0.933       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0793     |
